"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
"ADELIA BETANI - EPP";"ADELIA BETANI - EPP";"07.459.485/0001-25";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";4534002;"SP";"São Paulo";"Itaim Bibi";"RUA JOAQUIM FLORIANO, 597";"(11) 3167-7922";"(11) 3167-7922";"arabe@globo.com";"";"";"26.043824.15.0001-8";"5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Primário)";90;"(Inglês)"
"ADEMAR BLACK";"PANIFICADORA E CONFEITARIA PALADAR";"02.168.648/0001-05";"Sociedade Empresária";"13/10/1997";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";85960000;"PR";"Marechal Cândido Rondon";"Marechal Cândido Rondon";"AVENIDA IRIO JACOB WELP, 1780 JARDIM LIDER";"(45) 3254-4552";"";"";"";"";"18.034363.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Alemão)"
"ADEMAR DE LARA ME";"BAR E RESTAURANTE LARA";"02.751.115/0001-43";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";89580000;"SC";"Fraiburgo";"Fraiburgo";"RUA CASTELO BRANCO, Nº 75";"(48) 9917-3644";"";"";"";"";"24.042385.15.0001-8";"5611-2/03-CASA DE DOCES E SALGADOS; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"ADEMIR TROIAN";"RESTAURANTE CASARÃO";"06.030.190/0001-76";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";95480000;"RS";"Cambará do Sul";"Cambará do Sul";"PADRE JOAO FRANCISCO RITTER,  247";"(54) 3251-1711";"";"";"";"";"23.039382.15.0001-2";"5611-2/02-CASAS DE CHÁ (Primário)";;"("""")"
"ADENA & GUIMARÃES LTDA";"SORVETERIA ALASKA COXIPÓ";"08.017.334/0001-80";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Similar";78068401;"MT";"Cuiabá";"Boa Esperança";"RUA 01 Nº148";"(65) 3627-2767";"";"marcel@alaskasorvetes.com.br";"marcel-salomao@uol.com.br";"";"13.045037.15.0001-5";"5611-2/03-SORVETERIA; SERVIÇO DE ALIMENTAÇÃO (Primário)";90;"(""Nenhuma das Opções"")"
"ADGÃO PORTUGUÊS RESTAURANTE LTDA";"ADEGÃO PORTUGUÊS";"33.181.116/0001-23";"Sociedade Empresária";"04/04/1964";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";20921440;"RJ";"Rio de Janeiro";"São Cristóvão";"CAMPO DE SÃO CRISTOVÃO, Nº 212";"(21) 2580-4578";"";"";"";"";"19.034895.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ADILSON ALVES DE SOUSA - ME";"RESTAURANTE BOQUEIRÃO";"32.396.293/0001-64";"Sociedade Empresária";"22/01/1991";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29208030;"ES";"Guarapari";"Balneário de Meaípe";"RUA BELO HORIZONTE, 71";"(27) 3272-1308";"";"edgardmeaipe@oi.com.br";"";"";"08.037782.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";94;"(""Nenhuma das Opções"")"
"ADOLFO PAULI ME";"D""GUST LANCHES";"24.982.670/0001-19";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78550000;"MT";"Sinop";"Sinop";"RUAS DAS PRIMAVERAS, 3355";"(66) 3356-8125";"";"";"";"";"13.040320.15.0001-1";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"(Espanhol)"
"ADRIANO CORREIA DO NASCIMENTO ME";"SUSHI EXPRESS";"09.477.272/0001-51";"Sociedade Empresária";"10/04/2008";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79020330;"MS";"Campo Grande";"Centro";"RUA RIO GRANDE DO SUL, 1.523";"(67) 3313-4551";"";"";"";"";"12.037474.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ADRIETI GOES IMAGUTI";"LANCHONETE APALHOÇA";"05.657.494/0001-03";"Sociedade Empresária";"22/05/2003";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79780000;"MS";"Bataguassu";"Bataguassu";"AV. AQUIDAUANA, 232";"(67) 3541-1226";"";"";"";"";"12.034169.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ADU ALIMENTOS LTDA-EPP";"YOU'S";"03.308.734/0001-20";"Sociedade Empresária";"30/07/1999";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";71625500;"DF";"Lago Sul";"Setor de Habitações Individuais Sul";"SHI/SUL CL QI 11 BLOCO I LOJAS 16,40 E 46 ";"(XX) 3248-0184";"";"";"";"";"07.037581.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"AEROCALDO LTDA";"AEROCALDO";"02.933.463/0001-31";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";74075080;"GO";"Goiânia";"Setor Aeroporto";"RUA 2 A , 134 QD 5A LT 13";"(62) 3942-6064";"";"luizfernandocabral90@gmail.com";"";"";"09.038059.15.0001-2";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";0;"("""")"
"AFA HOTEIS & TURISMO LTDA";"AFA HOTEL";"84.304.765/0001-05";"Sociedade Empresária";"15/05/2010";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69908020;"AC";"Rio Branco";"Centro";"RUA FRANCO RIBEIRO,109-CENTRO";"(68) 3224-1396";"";"saulo@afabistro.com.br";"";"www.afabistro.com.br";"01.035482.15.0001-4";"5510-8/01-HOTEL (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";80;"(Espanhol)"
"AFG INDÚSTRIA E COMÉRCIO DE ALIMENTOS LTDA.";"EMPÓRIO GUIMARÃES";"02.403.417/0001-20";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";86020090;"PR";"Londrina";"Jardim Higienópolis";"RUA PARAIBA, 533";"(43) 3334-0700";"(43) 3334-0700";"";"";"www.emporioguimaraes.com.br";"18.038319.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"AFJ LANCHONETE E PIZZARIA LTDA";"GULATERIA CARIOCA";"09.045.932/0001-25";"Sociedade Empresária";"23/03/2008";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";24220420;"RJ";"Niterói";"Icaraí";"RUA SANTA ROSA, 230 LJS 1 E 2";"(21) 2710-6665";"";"";"";"WWW.GULATERIACARIOCA.COM.BR";"19.036871.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"AGX COMERCIO DE ALIMENTOS LTDA";"DOMINO'S PIZZA - BATEL";"12.430.573/0001-34";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";80420090;"PR";"Curitiba";"Batel";"AV. DO BATEL, 1280";"(41) 3343-9000";"(41) 3343-9000";"bguerios@hotmail.com";"lguerios@hotmail.com";"www.dominos.com.br";"18.041165.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";20;"(""Inglês,Espanhol"")"
"AHADU SERVIÇOS DE BUFFET LTDA ME";"AHADU EVENTOS";"04.811.291/0001-59";"Sociedade Empresária";"28/02/2002";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";77006160;"TO";"Palmas";"Plano Diretor Norte";"110 NORTE ALAMEDA 13 LOTE 04";"(63) 3228-0202";"(63) 3228-0202";"";"";"WWW.AHADU.COM.BR";"27.030134.15.0001-0";"8230-0/01-SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";;"(Inglês)"
"AIPANA PLAZA HOTEL LTDA";"AIPANA PLAZA HOTEL LTDA";"01.271.789/0001-88";"Sociedade Empresária";"25/08/1996";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69301380;"RR";"Boa Vista";"Centro";"PRACA DO CENTRO CIVICO JOAQUIM NABUCO, 974    ";"(95) 3212-0800";"(95) 3224-4116";"gerencia@aipanaplaza.com.br";"reservas@aipanaplaza.com.br";"";"22.007839.15.0001-7";"5510-8/01-HOTEL (Primário), 5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário)";200;"(Inglês)"
"AJ. DOCERIA  LTDA";"TORTAS  &   TORTAS";"10.514.097/0001-04";"Sociedade Empresária";"28/11/2008";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";69054040;"AM";"Manaus";"Parque 10 de Novembro";"AV. TANCREDO NEVES NR 01 CONJ NOVA FRIBURGO ";"(92) 3632-1866";"(92) 3236-1423";"";"";"";"03.036441.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"AJG CAFÉ COMERCIO DE ALIMENTOS LTDA ME";"BELLAS ARTES";"10.293.915/0001-96";"Sociedade Empresária";"21/12/2009";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";88054010;"SC";"Florianópolis";"Canasvieiras";"JOÃO PIO DUARTE SILVA, 331";"(48) 3028-1822";"";"";"";"WWW.CAFEBELLASARTES.COM.BR";"24.037462.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"AKEMI E KENZO- RESTAURANTE LANCHONETE E MERCEARIA LTDA ME";"AKEMI E KENZO- RESTAURANTE LANCHONETE E MERCEARIA LTDA ME";"04.436.013/0001-69";"Sociedade Empresária";"11/05/2001";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";13320005;"SP";"Salto";"Centro";"RUA 9 DE JULHO, 05";"(11) 4021-4936";"(11) 4023-0473";"";"";"";"26.036618.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Japonês)"
"AKIRA´S RESTAURANTE E PIZZARIA LTDA-ME";"AKIRA´S BAR E RESTAURANTE";"10.711.183/0001-07";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";72110800;"DF";"Taguatinga";"Taguatinga Norte";"A.E 05 MOD.01-FEIRA DO PRODUTOR";"(61) 3397-2474";"";"";"";"www.akirasbar.com.br";"07.041663.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"AL CAFE LTDA";"AL CAFE LTDA";"10.540.401/0001-98";"Sociedade Empresária";"";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79020250;"MS";"Campo Grande";"Centro";"RUA DA PAZ, 410";"(67) 3025-6888";"";"ichiban.ichiban@hotmail.com";"";"";"12.044548.15.0001-0";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";80;"(""Nenhuma das Opções"")"
"ALB PIZZARIA LTDA - ME";"ALB PIZZARIA";"06.867.511/0001-91";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";81530590;"PR";"Curitiba";"Jardim das Américas";"RUA ULISSES JOSE RIBEIRO, 220";"(41) 9126-3579";"";"";"";"";"18.041001.15.0001-3";"5611-2/03-PIZZARIA (TIPO FAST-FOOD); SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"ALCIDES HRMIMIO DO NASCIMENTO";"CHURRASCARIA & PIZZARIA PASSA TEMPO";"06.893.452/0001-26";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";55811030;"PE";"Carpina";"Santa Cruz";"AV. CONSELHEIRO JOAO ALFREDO, 350";"(81) 3621-1748";"";"";"";"";"16.038693.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ALCIRAN PENTEADO";"CHURRASCARIA DO PENTEADO";"05.469.996/0001-00";"Sociedade Empresária";"11/12/2002";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";84400000;"PR";"Prudentópolis";"Prudentópolis";"RUA DOMINGOS LUIZ DE OLIVEIRA, 1370 CENTRO";"(42) 3446-1334";"(42) 3446-1334";"";"";"";"18.033136.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Ucraniano)"
"ALD - BAR E RESTAURANTE LTDA- ME";"NOVA CASA";"10.991.281/0001-45";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";71820601;"DF";"Riacho Fundo";"Riacho Fundo";"Q RF QD. SUL 06 CONJ. 01 LOTE 33 ";"(61) 3022-5025";"";"";"";"";"07.041630.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"ALDEVAR MENDES MACHADO EPPI";"MACHADO'S RESTAURANTE";"03.865.470/0001-06";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";70670503;"DF";"Cruzeiro";"Setor Sudoeste";"CLSW 101 BL. C LOJAS 48/54";"(61) 3344-8719";"(61) 3257-8848";"eli42@superig.com.br";"eliao42@gmail.com";"www.machadosrestaurante.com";"07.042804.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"ALEIDE PEREIRA CASTELLO ME";"CHATEAU REATAURANTE";"27.448.067/0001-40";"Sociedade Empresária";"31/05/1982";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29041260;"ES";"Vitória";"Nazaréth";"RUA GILBERTO PAIXÃO";"(27) 3222-2932";"";"";"";"";"08.036094.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"ALENCASTRO E GUERRA COMERCIO DE ALIMENTOS LTDA";"SUBWAY ";"11.255.201/0001-56";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74915906;"GO";"Aparecida de Goiânia";"Vila São Tomaz";"AV.RIO VERDE  S/N QD. 102 LT.293 PISO. 1";"(62) 3097-1464";"";"";"";"";"09.040247.15.0001-0";"5611-2/03-LANCHERIA; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"(Espanhol)"
"ALES RESTAURANTE LTDA";"ALLES PICANHA";"11.295.008/0001-49";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";89204635;"SC";"Joinville";"América";"RUA MAX COLIN";"(47) 3025-6889";"";"saulo@allespicanha.com.br";"";"www.allespicanha.com.be";"24.040110.15.0001-7";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";;"("""")"
"ALESSANDRO GAMA RÉGIS - ME";"SANDROS BAR";"00.378.163/0001-02";"Empresário Individual (Não MEI)";"04/01/1995";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";62840000;"CE";"Beberibe";"Beberibe";"RUA DA PRAIA, S/N - MORRO BRANCO";"(85) 8549-1961";"(85) 9957-1062";"sandragamaregis@gmail.com";"";"";"06.034139.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";500;"(""Francês,Inglês,Italiano,Japonês"")"
"ALEX MILCZAREK";"ESPAÇO GOURMET";"10.630.264/0001-82";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";98590000;"RS";"Santo Augusto";"Santo Augusto";"AV DO COMERCIO,  328";"(55) 3781-1001";"";"";"";"";"23.043137.15.0001-2";"5611-2/01-CHURRASCARIA; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"ALEXANDRA MISSIAK";"RESTAURANTE E LANCHONETE PANELA DE BARRO";"10.789.610/0001-70";"Sociedade Empresária";"06/04/2009";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78490000;"MT";"Jangada";"Jangada";"ROD. BR 163, S/N, KM 74, BR 364, KM 503";"(65) 3344-1161";"(65) 9969-5383";"";"";"";"13.036728.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ALEXANDRE DE ALMEIDA CÂNDIDO ME";"PANIFICADORA E CONFEITARIA VIENNA";"00.442.209/0001-05";"Sociedade Empresária";"29/01/2010";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Cafeteria";86010460;"PR";"Londrina";"Centro";"RUA GOIÁS, 1820";"(43) 3367-3777";"";"";"";"";"18.036729.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"ALEXANDRE DE MELLO HATYS ME";"RESTAURANTE ALEXANDRE";"07.475.170/0001-71";"Sociedade Empresária";"08/06/2005";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";62598000;"CE";"Jijoca de Jericoacoara";"Jijoca de Jericoacoara";"AV BEIRA MAR, S/N";"(88) 9961-8679";"";"";"";"";"06.037599.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ALEXANDRE NATRIELLI RESTAURANTE ME";"ALEXANDRE NATRIELLI RESTAURANTE ME";"08.676.377/0001-77";"Sociedade Empresária";"05/03/2007";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";53630000;"PE";"Igarassu";"Cruz de Rebouças";"AV. BARÃO DE VERA CRUZ, N° 1612 ""A""";"(81) 3543-0000";"";"";"";"WWW.RESTAURANTENATRIELLI.COM.BR";"16.036880.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(""Inglês,Espanhol"")"
"ALEXANDRE PEREIRA GONÇALVES ME.";"RESTAURANTE TUDO EM PIZZA";"00.842.990/0001-05";"Sociedade Empresária";"01/11/1995";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";23860000;"RJ";"Mangaratiba";"Mangaratiba";"RUA ARTHUR PIRES, 34  -  CENTRO";"(21) 2789-2535";"";"";"";"";"19.037843.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Espanhol)"
"ALEXANDRE SOUZA BEDIM ME";"SORVETERIA SOL & NEVE";"04.202.041/0001-11";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";29216000;"ES";"Guarapari";"Praia do Morro";"AV. ALBERTO RAMALHETE COUTINHO, 1382, LJ 02";"(27) 3361-3705";"(27) 3361-3705";"mezadre@hotmail.com";"";"";"08.041353.15.0001-5";"5611-2/03-CALDO DE CANA; SERVIÇO DE ALIMENTAÇÃO (Primário), 5611-2/03-SORVETERIA; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"ALEXANDRE SUCUPIRA MAIA ME";"STOP NIGHT";"07.911.176/0001-44";"Sociedade Empresária";"10/02/2006";"Médio Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";62960000;"CE";"Tabuleiro do Norte";"Tabuleiro do Norte";"RUA MAIA ALARCON, 756";"(88) 3424-2127";"";"";"";"";"06.033070.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ALFAJOR LANCHONETES E SORVETERIA LTDA EPP";"BOB´S BURGERS";"07.163.252/0001-80";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78550000;"MT";"Sinop";"Sinop";"PRAÇA TRÊS PODERES,Nº71";"(66) 9985-0425";"";"";"";"";"13.040647.15.0001-1";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"("""")"
"ALIMENTOS FIRENZE LTDA-ME";"PIZZARIA FLAMBOYANT";"09.288.367/0001-27";"Sociedade Empresária";"17/12/2007";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";57035500;"AL";"Maceió";"Jatiúca";"AV.JOÃO DAVINO, 668";"(82) 3355-8020";"";"";"";"";"02.035151.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"(Inglês)"
"ALIMENTOS GORDO E MAGRO LTDA";"SAPORE D`ITALIA";"04.787.450/0001-27";"Sociedade Empresária";"09/11/2001";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";90560002;"RS";"Porto Alegre";"Floresta";"AVENIDA CRISTOVAO COLOMBO 2118";"(51) 3346-6784";"";"";"";"";"23.037086.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ALIMENTOS NOVA GERAÇÃO DE ICARAÍ LTDA";"ALIMENTOS NOVA GERAÇÃO DE ICARAÍ";"28.690.618/0001-40";"Sociedade Empresária";"26/06/1985";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";24230101;"RJ";"Niterói";"Icaraí";"RUA GAVIÃO PEIXOTO, 152 LOJA 105";"(21) 3603-2918";"";"";"";"";"19.035905.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ALINE SANTIAGO -  ME";"TEMPERO BRASILEIRO RESTAURANTE E PETISCARIA";"12.964.386/0001-30";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";79170000;"MS";"Sidrolândia";"Sidrolândia";"RUA SÃO PAULO, 635";"(67) 3272-5946";"";"";"";"";"12.040910.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ALL CHEESE ALIMENTOS LTDA";"COMPANHIA DO GRELHADO";"04.886.649/0001-02";"Sociedade Empresária";"01/02/2002";"Microempresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";74810907;"GO";"Goiânia";"Jardim Goiás";"AV. DEP. JAMEL CE. 3.300 QD 34 LT 2-E S.T-116 SHOP. FLAMBOAN";"(62) 3945-4667";"(62) 3941-8859";"moni@companhiadogrelhado.com.br";"";"WWW.COMPANHIADOGRELHADO.COM.BR";"09.036294.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";0;"(""Inglês,Espanhol"")"
"ALL TIME COMERCIO DE ALIMENTOS LTDA";"PIZZA PARK ";"00.331.059/0001-62";"Sociedade Empresária";"02/12/1994";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";22270010;"RJ";"Rio de Janeiro";"Botafogo";"RUA VOLUNTÁRIOS DA PÁTRIA, 446 LJ 18A  A 21 A, 36 A, 37 A";"(XX) 2537-2602";"(XX) 2527-2928";"";"";"";"19.037459.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ALLAN ALVES DA COSTA FERREIRA ME";"CHURRASCARIA ZERO HORA";"09.656.392/0001-16";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";73795000;"GO";"Teresina de Goiás";"Teresina de Goiás";"AV PEDRO ALVARES CABRAL SN QD 18 LT 11/12 SETOR CARMELÂNDIA";"(62) 3467-1231";"";"allanalvesferreira@hotmail.com";"";"";"09.041231.15.0001-4";"5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Primário)";;"("""")"
"ALLAN HAYNES JUNIOR - BAR E RESTAURANTE";"TAJ VIX";"13.407.023/0001-67";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Bar";29055460;"ES";"Vitória";"Praia do Canto";"RUA JOAQUIM LIRIO, 76";"(27) 3024-2555";"(27) 3024-2555";"";"";"vitoria.tajbar.com.br";"08.043735.15.0001-8";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";;"("""")"
"ALLIGATORS BURGER LTDA";"ALLIGATORS BURGER";"01.097.102/0001-30";"Sociedade Empresária";"";"Empresa de Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";78060601;"MT";"Cuiabá";"Jardim das Américas";"AV BRASILIA  SL 64  2° AND C. COML";"(65) 3624-5208";"(65) 3627-5596";"fiscal.projeco@brturbo.com.br";"cont.projeco@brturbo.com.br";"";"13.045108.15.0001-9";"5611-2/01-A QUILO; SERVIÇO DE ALIMENTAÇÃO (Primário)";400;"("""")"
"ALMEIDA & PEREIRA RESTAURANTE LTDA ME";"ALMEIDA & PEREIRA RESTAURANTE LTDA ME";"11.220.056/0001-78";"Sociedade Empresária";"05/10/2009";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";12215900;"SP";"São José dos Campos";"Jardim Paulista";"AVENIDA DEPUTADO BENEDITO MATARAZZO N° 9403 K3";"(12) 3924-5245";"";"";"";"";"26.037601.15.0001-7";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ALMEIDA E ARAUJO BAR E RESTAURANTE LTDA";"AROMAS DE MINAS";"11.269.457/0001-12";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";30130141;"MG";"Belo Horizonte";"Funcionários";"RUA PARAIBA, 1479 LJ 01";"(31) 3225-3273";"";"";"";"";"11.038417.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
"ALMEIDA QUEIROZ COMERCIAL LTDA";"ALMEIDA QUEIROZ";"10.787.173/0001-55";"Sociedade Empresária";"";"Micro Empresa";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";30130140;"MG";"Belo Horizonte";"Santa Efigênia";"RUA PARAIBA,227";"(31) 3889-6400";"";"";"";"";"11.043368.15.0001-5";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";;"(""Inglês,Espanhol"")"
"ALMEIDA SANTOS COMÉRCIO DE ALIMENTOS LTDA";"GIRAFFAS";"05.808.139/0001-80";"Sociedade Empresária";"";"Pequeno Porte";"Em Operação";"Restaurantes, Cafeterias e Bares";"Restaurante";29050420;"ES";"Vitória";"Enseada do Suá";"AVENIDA AMÉRICO BUAIZ";"(27) 3335-1469";"(27) 3335-1469";"eduardo@esafi.com.br";"";"";"08.042701.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";;"("""")"
